row_index,sequence_id,key,dataset,seq_name,annotation_source,evaluation_mode,frame_count,ground_truth_frames,scored_frames,matched_prediction_frames,auc,norm_precision,accuracy_score,total_lost_frames,video_path,annotation_path,match_type,local_label,warning,error
227,dataset5__boat1,dataset5/boat1,dataset5,boat1,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\boat1\boat1_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\boat1\annotation.txt,matched,UAV123/boat1,,
228,dataset5__boat2,dataset5/boat2,dataset5,boat2,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\boat2\boat2_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\boat2\annotation.txt,matched,UAV123/boat2,,
229,dataset5__boat3,dataset5/boat3,dataset5,boat3,local,scored,901,901,901,901,0.7971037471592408,0.9223613973891444,0.8472068072512022,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\boat3\boat3_30.mp4,C:\Users\yousif\Documents\AIC Data\our-data\UAV123\anno\UAV123\boat3.txt,matched,UAV123/boat3,,
230,dataset5__boat4,dataset5/boat4,dataset5,boat4,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\boat4\boat4_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\boat4\annotation.txt,matched,UAV123/boat4,,
231,dataset5__boat5,dataset5/boat5,dataset5,boat5,local,scored,505,505,505,505,0.8615747289014616,0.9428571428571428,0.8940876944837342,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\boat5\boat5_30.mp4,C:\Users\yousif\Documents\AIC Data\our-data\UAV123\anno\UAV123\boat5.txt,matched,UAV123/boat5,,
232,dataset5__boat6,dataset5/boat6,dataset5,boat6,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\boat6\boat6_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\boat6\annotation.txt,matched,UAV123/boat6,,
233,dataset5__boat7,dataset5/boat7,dataset5,boat7,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\boat7\boat7_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\boat7\annotation.txt,matched,UAV123/boat7,,
234,dataset5__boat8,dataset5/boat8,dataset5,boat8,local,scored,685,685,685,685,0.575738616614529,0.7516857838025721,0.6461174834897463,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\boat8\boat8_96.mp4,C:\Users\yousif\Documents\AIC Data\our-data\UAV123\anno\UAV123\boat8.txt,matched,UAV123/boat8,,
235,dataset5__boat9,dataset5/boat9,dataset5,boat9,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\boat9\boat9_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\boat9\annotation.txt,matched,UAV123/boat9,,
236,dataset5__building1,dataset5/building1,dataset5,building1,local,scored,469,469,469,469,0.8700375672657124,0.9371509797949029,0.8968829322773886,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\building1\building1_30.mp4,C:\Users\yousif\Documents\AIC Data\our-data\UAV123\anno\UAV123\building1.txt,matched,UAV123/building1,,
237,dataset5__building2,dataset5/building2,dataset5,building2,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\building2\building2_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\building2\annotation.txt,matched,UAV123/building2,,
238,dataset5__building3,dataset5/building3,dataset5,building3,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\building3\building3_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\building3\annotation.txt,matched,UAV123/building3,,
